"id","name","lat","lng","url"
"31435","金岡東Ｆ団地　3-04棟北側駐車場","34.566016","135.520903","https://btimes.jp/osaka/park/31435/"
"31410","金岡東Ｆ団地　3-03棟北側駐車場","34.566315","135.520902","https://btimes.jp/osaka/park/31410/"
"56584","ＵＲ中百舌鳥公園団地駐車場","34.549828","135.510822","https://btimes.jp/osaka/park/56584/"
"31409","金岡東Ｆ団地　3-05棟北側駐車場","34.566009","135.520018","https://btimes.jp/osaka/park/31409/"
"35139","ＵＲ新金岡第一団地駐車場","34.564797","135.517697","https://btimes.jp/osaka/park/35139/"
"56593","ＵＲ新金岡第一団地駐車場","34.563047","135.515796","https://btimes.jp/osaka/park/56593/"
"56592","ＵＲ新金岡第一団地駐車場","34.562912","135.515555","https://btimes.jp/osaka/park/56592/"
"52153","ＵＲ新金岡第一団地駐車場","34.562945","135.51488","https://btimes.jp/osaka/park/52153/"
"31400","金岡東Ｄ団地駐車場","34.570627","135.520728","https://btimes.jp/osaka/park/31400/"
"35474","サンプラザ天美我堂駐車場","34.575379","135.526224","https://btimes.jp/osaka/park/35474/"
"58410","やぶののガレージ1駐車場","34.581053","135.532515","https://btimes.jp/osaka/park/58410/"
"58411","やぶののガレージ1駐車場","34.581303","135.532622","https://btimes.jp/osaka/park/58411/"
"32682","土師ノ里駐車場","34.568874","135.61493","https://btimes.jp/osaka/park/32682/"
"61031","北花田町2丁235-5駐車場","34.577128","135.524891","https://btimes.jp/osaka/park/61031/"
"66094","中百舌鳥町5-740ディナスティ中百舌鳥駐車場","34.550884","135.50453","https://btimes.jp/osaka/park/66094/"
"39194","金岡東団地　8号棟北・6号棟北・2号棟北　駐車場","34.56908","135.513511","https://btimes.jp/osaka/park/39194/"
"39193","金岡東団地　7号棟南・5号棟南　駐車場","34.569089","135.512823","https://btimes.jp/osaka/park/39193/"
"771","タイムズカー堺もず店駐車場","34.546617","135.500434","https://btimes.jp/osaka/park/771/"
"1318","マンスリー松原岡３丁目駐車場","34.560556","135.561118","https://btimes.jp/osaka/park/1318/"
"40469","マンスリー岡３丁目令和駐車場","34.561097","135.563451","https://btimes.jp/osaka/park/40469/"
"54597","ＵＲサンヴァリエ春日丘駐車場","34.564678","135.593347","https://btimes.jp/osaka/park/54597/"
"1681","マンスリータイムズ新家町駐車場","34.538078","135.511966","https://btimes.jp/osaka/park/1681/"
"60532","金岡東C・E団地駐車場","34.565861","135.522831","https://btimes.jp/osaka/park/60532/"
"648","天美南駐車場","34.577236","135.53835","https://btimes.jp/osaka/park/648/"
"60528","金岡東C・E団地駐車場","34.566936","135.52296","https://btimes.jp/osaka/park/60528/"
"60526","金岡東C・E団地駐車場","34.566657","135.521722","https://btimes.jp/osaka/park/60526/"
"48840","トーケンパーキング","34.57444","135.528789","https://btimes.jp/osaka/park/48840/"
"47026","ＵＲ新金岡第一団地駐車場","34.564005","135.51641","https://btimes.jp/osaka/park/47026/"
"39195","金岡東団地　3号棟北　駐車場","34.568906","135.514517","https://btimes.jp/osaka/park/39195/"
"32030","深井駅前第４駐車場","34.528034","135.500771","https://btimes.jp/osaka/park/32030/"
"36755","ロイヤルメゾン北花田駐車場","34.578749","135.515928","https://btimes.jp/osaka/park/36755/"
"38941","マンスリー東雲西町駐車場","34.578649","135.501424","https://btimes.jp/osaka/park/38941/"
"35489","喜連団地　3、4、5、6、7号棟駐車場","34.60725","135.554418","https://btimes.jp/osaka/park/35489/"
"35530","喜連団地　8、9、10、11号棟駐車場","34.606997","135.554485","https://btimes.jp/osaka/park/35530/"
"38172","マンスリー今川5丁目第2　駐車場","34.62564","135.54236","https://btimes.jp/osaka/park/38172/"
"47816","大蓮東4丁目10駐車場","34.630677","135.586954","https://btimes.jp/osaka/park/47816/"
"31029","中野１丁目２駐車場","34.620626","135.540428","https://btimes.jp/osaka/park/31029/"
"1826","百済駐車場","34.632455","135.54381","https://btimes.jp/osaka/park/1826/"
"41301","グランドール巽パーク駐車場（旧スカイパーク榎木I駐車場）","34.642751","135.55415","https://btimes.jp/osaka/park/41301/"
"31690","みと団地駐車場","34.63994","135.583164","https://btimes.jp/osaka/park/31690/"
"41996","スカイパーク榎木1駐車場（旧グランドールパーク巽中駐車場）","34.644159","135.555791","https://btimes.jp/osaka/park/41996/"
"34945","辰巳第1モータープール駐車場","34.597662","135.573452","https://btimes.jp/osaka/park/34945/"
"1176","吉松２丁目５－２９サンエーコーポ駐車場","34.644372","135.579108","https://btimes.jp/osaka/park/1176/"
